text,true_label,lr_pred,lr_prob,xgb_pred,xgb_prob,bert_pred,bert_prob,all_agree
belgian judge defers ruling on warrant for excatalan leader lawyer,0,0,0.09063819054043933,0,0.011085524,0,0.00020031635,True
trumps central america plan will not boost militarization honduras president,0,0,0.4668824933969546,1,0.8760151,0,0.0004306476,False
senate confirms dr robert califf to lead fda,0,0,0.14959685426866803,0,0.09335065,0,0.004168334,True
 weird republicans were against obama launching a strike on syria but not now details,1,1,0.8007149769285662,1,0.9811721,1,0.99824655,True
hollywood libs create insane propaganda video for obama warning iran will bomb us with nukes if congress blocks obamas deallike a really dark unpleasant death toast,1,1,0.9612631998383989,1,0.99995804,1,0.99984837,True
british foreign secretary visits libyan strongman backs ceasefire,0,0,0.06691208245949459,0,0.021463655,0,0.00034821863,True
zimbabwe army hands exfinance minister to police relative,0,0,0.02939776955857075,0,0.0046711313,0,0.00016867495,True
republicans call for answers did wassermanschultz and podesta just get caught in a big lie,1,1,0.9759706886314149,1,0.9991794,1,0.99973077,True
house to consider disaster aid wednesday,0,0,0.06288451664797952,0,0.06651508,0,0.0028207938,True
ireland says wants agreed wording on brexit border before december  summit,0,0,0.020495461294060203,0,0.008290842,0,0.00019330918,True
 former secretary of state drops massive shocker on trumps foreign policy and hell despise it,1,1,0.7474956910884298,1,0.96851987,1,0.99965835,True
 trump wont tell america where his products are made so heres a handy guide images,1,1,0.9655681090160074,1,0.9993542,1,0.9698706,True
turkeys erdogan angers critics with plan to replace culture center,0,0,0.14350521715171136,0,0.10725685,0,0.0006771116,True
huh germans bombed pearl harbor congressman up for dnc chair needs a history lesson video,1,1,0.9240232992466002,1,0.9956755,1,0.99951303,True
which la raza trump comments cause confusion over groups role,0,0,0.21895403449497045,0,0.096971326,0,0.0011347304,True
obama administration officials warn lawmakers over iran sanctions,0,0,0.05653633201208354,0,0.011417887,0,0.0018551571,True
 billionaire superpac launches ad against  min wage and bernie sanders video,1,1,0.9556179861108972,1,0.9978528,1,0.77950674,True
prayer principle guide women voters in roy moores alabama hometown,0,1,0.5736076812041724,0,0.15166911,0,0.044082563,False
trump to meet with senate republican leader mcconnell thursday politico,0,0,0.048859664863011035,0,0.030726818,0,0.00089558243,True
north carolina transgender battle could expand civil rights law,0,0,0.08215060425252946,0,0.013764849,0,0.0047324933,True
 rush limbaugh lack of consent is just an excuse leftists use to vilify rapists audio,1,1,0.9503364537309826,1,0.996838,1,0.9998385,True
us senate hearings delayed for three wealthy trump nominees,0,0,0.11616828946046182,0,0.04596581,0,0.0075366227,True
 trumps idiot press secretary tweeted out his password multiple times in two days tweets,1,1,0.8994617554496244,1,0.9772264,1,0.9814092,True
in mexican slum a decadeslong wait for quake relief,0,0,0.11631494022157936,0,0.12882182,0,0.0011654856,True
msnbc reporter shocked after leftists call for his firing for pointing out trumps genuine compassion for tx flood victims grandpa who the public never sees,1,1,0.6745866671475663,1,0.99642247,1,0.9998472,True
white house puerto rico debt crisis could hamper zika response,0,0,0.0561943948905901,0,0.014132223,0,0.0008851299,True
 trump makes new racist attack on judge exposing trump university video,1,1,0.9775884402185024,1,0.99848205,0,0.13751546,False
